web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751762-649,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Chiot Berger Allemand"",""Almadies 2, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4578293"""
"1752751762-650,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiot Rottweiler"",""Almadies 2, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4578118"""
"1752751762-651,""https://sn.coinafrique.com/categorie/chiens?page=3"",""175 000CFA"",""Chiots Berger Allemand"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4578066"""
"1752751762-652,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiens Malinois charbonner"",""Rufisque, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-charbonner-4560526"""
"1752751762-653,""https://sn.coinafrique.com/categorie/chiens?page=3"",""Prix sur demande"",""Chiens malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-4559186"""
"1752751762-654,""https://sn.coinafrique.com/categorie/chiens?page=3"",""Prix sur demande"",""Chiots  Bichon maltais"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-4557442"""
"1752751762-655,""https://sn.coinafrique.com/categorie/chiens?page=3"",""195 000CFA"",""Chiots mâle"",""Point E, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-male-4556192"""
"1752751762-656,""https://sn.coinafrique.com/categorie/chiens?page=3"",""350 000CFA"",""Chiot Malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4549443"""
"1752751762-657,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiot femelle Malinois et Red Nose"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-femelle-malinois-et-red-nose-4548513"""
"1752751762-658,""https://sn.coinafrique.com/categorie/chiens?page=3"",""275 000CFA"",""Rottweiler femelle 2 mois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/rottweiler-femelle-2-mois-4543266"""
"1752751762-659,""https://sn.coinafrique.com/categorie/chiens?page=3"",""300 000CFA"",""Chiot Rott"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-rott-4532830"""
"1752751762-660,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiot Berger Malinois"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4532826"""
"1752751762-661,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Chiot Berger Allemand"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4532817"""
"1752751762-662,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Chiot Berger allemand"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4532063"""
"1752751762-663,""https://sn.coinafrique.com/categorie/chiens?page=3"",""125 000CFA"",""Chiots Bergers Allemands"",""Saly, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-4530727"""
"1752751762-664,""https://sn.coinafrique.com/categorie/chiens?page=3"",""700 000CFA"",""Chiot Berger Allemand"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4513587"""
"1752751762-665,""https://sn.coinafrique.com/categorie/chiens?page=3"",""230 000CFA"",""Chiotte Berger Allemand"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiotte-berger-allemand-4513582"""
"1752751762-666,""https://sn.coinafrique.com/categorie/chiens?page=3"",""700 000CFA"",""Chiens  Malinois charbonnés"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-charbonnes-4513573"""
"1752751762-667,""https://sn.coinafrique.com/categorie/chiens?page=3"",""550 000CFA"",""Chiot Boerbool"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerbool-4513571"""
"1752751762-668,""https://sn.coinafrique.com/categorie/chiens?page=3"",""Prix sur demande"",""Chiot Caniche"",""Mbour, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4499987"""
"1752751762-669,""https://sn.coinafrique.com/categorie/chiens?page=3"",""120 000CFA"",""Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4497142"""
"1752751762-670,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4497133"""
"1752751765-671,""https://sn.coinafrique.com/categorie/chiens?page=2"",""200 000CFA"",""Chiots Husky"",""Mbao, Dakar, Sénégal"",""favorite_border3mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-husky-5253441"""
"1752751765-672,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiens malinois"",""Thies, Sénégal"",""favorite_border3mois"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-5251605"""
"1752751765-673,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiots"",""Thies, Sénégal"",""favorite_border3mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-5249300"""
"1752751765-674,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot"",""Thies, Sénégal"",""favorite_border3mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-5249290"""
"1752751765-675,""https://sn.coinafrique.com/categorie/chiens?page=2"",""135 000CFA"",""Chiot Berger Allemand"",""Diamniadio, Sénégal"",""favorite_border3mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5245489"""
"1752751765-676,""https://sn.coinafrique.com/categorie/chiens?page=2"",""400 000CFA"",""Chiots  Cane Corso"",""Sicap foire, Dakar, Sénégal"",""favorite_border3mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-5243684"""
"1752751765-677,""https://sn.coinafrique.com/categorie/chiens?page=2"",""180 000CFA"",""Chiot Bichon"",""Ouakam, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-5229118"""
"1752751765-678,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chiots Berger Allemand"",""Mbour, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5228717"""
"1752751765-679,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiots"",""Pikine, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-5222994"""
"1752751765-680,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Boerbull"",""Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-5222921"""
"1752751765-681,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Boerbull"",""Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-5222912"""
"1752751765-682,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot Berger Allemand"",""Pikine, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5222675"""
"1752751765-683,""https://sn.coinafrique.com/categorie/chiens?page=2"",""175 000CFA"",""Chiot Bichon Maltais"",""Ouakam, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5221815"""
"1752751765-684,""https://sn.coinafrique.com/categorie/chiens?page=2"",""200 000CFA"",""Chiots"",""Almadies, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-5217395"""
"1752751765-685,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250 000CFA"",""Chiot Malinois"",""Thies, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5213981"""
"1752751765-686,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chiot Rott"",""Thies, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rott-5213979"""
"1752751765-687,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Husky mâle et femelle"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/husky-male-et-femelle-5210172"""
"1752751765-688,""https://sn.coinafrique.com/categorie/chiens?page=2"",""130 000CFA"",""Chiot Bichons Havanais"",""Ouakam, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichons-havanais-5199916"""
"1752751765-689,""https://sn.coinafrique.com/categorie/chiens?page=2"",""400 000CFA"",""Chiot Berger Allemand"",""Mbao, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5199105"""
"1752751765-690,""https://sn.coinafrique.com/categorie/chiens?page=2"",""200 000CFA"",""Chiot Rott"",""Diamniadio, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rott-5192129"""
"1752751765-691,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiots Rottweiler métissés"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border4mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-metisses-5190963"""
"1752751765-692,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiots Husky Sibérien"",""Mbao, Dakar, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-5186967"""
"1752751765-693,""https://sn.coinafrique.com/categorie/chiens?page=2"",""130 000CFA"",""Chiot Berger Allemand"",""Pikine, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5186005"""
"1752751765-694,""https://sn.coinafrique.com/categorie/chiens?page=2"",""180 000CFA"",""Chiot Malinois"",""Saly, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5180774"""
"1752751765-695,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiots Dogo Canario"",""Dakar, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-dogo-canario-5178208"""
"1752751765-696,""https://sn.coinafrique.com/categorie/chiens?page=2"",""350 000CFA"",""Chiot Rottweiler"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5161997"""
"1752751765-697,""https://sn.coinafrique.com/categorie/chiens?page=2"",""400 000CFA"",""Chiots Doberman"",""HLM, Dakar, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-doberman-5158454"""
"1752751765-698,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chien Rottewaler"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border5mois"",""https://sn.coinafrique.com/annonce/chiens/chien-rottewaler-5155571"""
"1752751765-699,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Labrador"",""Mbao, Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-5136517"""
"1752751765-700,""https://sn.coinafrique.com/categorie/chiens?page=2"",""175 000CFA"",""Chiots Bichons"",""Mamelles, Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-5133780"""
"1752751765-701,""https://sn.coinafrique.com/categorie/chiens?page=2"",""130 000CFA"",""Chiot Berger Allemand"",""Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5131922"""
"1752751765-702,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250 000CFA"",""Chiot Berger Allemand"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5127074"""
"1752751765-703,""https://sn.coinafrique.com/categorie/chiens?page=2"",""275CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chien-5124976"""
"1752751765-704,""https://sn.coinafrique.com/categorie/chiens?page=2"",""140 000CFA"",""Chiot Bichon"",""Ouakam, Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-5114859"""
"1752751765-705,""https://sn.coinafrique.com/categorie/chiens?page=2"",""210 000CFA"",""Chiot Berger Allemand"",""Fann, Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5114394"""
"1752751765-706,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Bichon Maltais"",""Mbao, Dakar, Sénégal"",""favorite_border6mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5104979"""
"1752751765-707,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Bichon Maltais"",""Mbao, Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5090975"""
"1752751765-708,""https://sn.coinafrique.com/categorie/chiens?page=2"",""80 000CFA"",""Chiot Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085599"""
"1752751765-709,""https://sn.coinafrique.com/categorie/chiens?page=2"",""80 000CFA"",""Chiot Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085597"""
"1752751765-710,""https://sn.coinafrique.com/categorie/chiens?page=2"",""80 000CFA"",""Chiot Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085579"""
"1752751765-711,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250 000CFA"",""Berger malinois"",""Mbao, Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/berger-malinois-5078573"""
"1752751765-712,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Femelle berger allemand 4 mois"",""Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/femelle-berger-allemand-4-mois-5065991"""
"1752751765-713,""https://sn.coinafrique.com/categorie/chiens?page=2"",""650 000CFA"",""Caniche mâle"",""Almadies 2, Dakar, Sénégal"",""favorite_border7mois"",""https://sn.coinafrique.com/annonce/chiens/caniche-male-5054275"""
"1752751765-714,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250 000CFA"",""Chiot chihuahuas"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-chihuahuas-5045245"""
"1752751765-715,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chiot Rottweiler"",""Mbao, Dakar, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5044649"""
"1752751765-716,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Husky"",""Point E, Dakar, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-5028791"""
"1752751765-717,""https://sn.coinafrique.com/categorie/chiens?page=2"",""350 000CFA"",""Chiot Berger Allemand"",""Guediawaye, Dakar, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5016564"""
"1752751765-718,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250 000CFA"",""Chiots Berger Allemand"",""Saint Louis, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5013765"""
"1752751765-719,""https://sn.coinafrique.com/categorie/chiens?page=2"",""130 000CFA"",""Chiot Berger Allemand"",""Niaga, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5006641"""
"1752751765-720,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250CFA"",""Chiot Rottweiler"",""Dakar, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5004868"""
"1752751765-721,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiots labrador pure race"",""Mbao, Dakar, Sénégal"",""favorite_border8mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-labrador-pure-race-5002785"""
"1752751765-722,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiots Bichon Maltais"",""Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-5002622"""
"1752751765-723,""https://sn.coinafrique.com/categorie/chiens?page=2"",""155 000CFA"",""Berger allemand femelle"",""Diamniadio, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-4996897"""
"1752751765-724,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chiot Bichon Maltais"",""Yoff, Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4993670"""
"1752751765-725,""https://sn.coinafrique.com/categorie/chiens?page=2"",""350 000CFA"",""Chien"",""Keur Massar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chien-4969495"""
"1752751765-726,""https://sn.coinafrique.com/categorie/chiens?page=2"",""180 000CFA"",""Bichon maltais pur race"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-pur-race-4968565"""
"1752751765-727,""https://sn.coinafrique.com/categorie/chiens?page=2"",""180 000CFA"",""Bichon maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4968555"""
"1752751765-728,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiots croisé Boer et Root"",""Cambérène, Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-croise-boer-et-root-4919750"""
"1752751765-729,""https://sn.coinafrique.com/categorie/chiens?page=2"",""500 000CFA"",""chiot boerboel"",""Mbour, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4960771"""
"1752751765-730,""https://sn.coinafrique.com/categorie/chiens?page=2"",""120 000CFA"",""Chiot Bichon Maltais"",""Mbao, Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4953991"""
"1752751765-731,""https://sn.coinafrique.com/categorie/chiens?page=2"",""Prix sur demande"",""Chiot Labrador"",""Mbao, Dakar, Sénégal"",""favorite_border9mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4953869"""
"1752751765-732,""https://sn.coinafrique.com/categorie/chiens?page=2"",""120 000CFA"",""Chiot Bichon"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4951836"""
"1752751765-733,""https://sn.coinafrique.com/categorie/chiens?page=2"",""250 000CFA"",""Chiot Boerboel"",""Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4951796"""
"1752751765-734,""https://sn.coinafrique.com/categorie/chiens?page=2"",""200 000CFA"",""Chiots Pitbull"",""Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4951773"""
"1752751765-735,""https://sn.coinafrique.com/categorie/chiens?page=2"",""390 000CFA"",""Chiot chihuahua"",""Ngaparou, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-chihuahua-4946002"""
"1752751765-736,""https://sn.coinafrique.com/categorie/chiens?page=2"",""100 000CFA"",""Chiot Berger Allemand"",""Thies, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4943304"""
"1752751765-737,""https://sn.coinafrique.com/categorie/chiens?page=2"",""75 000CFA"",""Couple de chiot de race"",""Ngor, Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/couple-de-chiot-de-race-4937044"""
"1752751765-738,""https://sn.coinafrique.com/categorie/chiens?page=2"",""180 000CFA"",""Chiot Bichon"",""Mamelles, Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4935684"""
"1752751765-739,""https://sn.coinafrique.com/categorie/chiens?page=2"",""700 000CFA"",""Lolou de pomeranien"",""Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/lolou-de-pomeranien-4934169"""
"1752751765-740,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot bichon Maltais"",""Keur Massar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4934038"""
"1752751765-741,""https://sn.coinafrique.com/categorie/chiens?page=2"",""120 000CFA"",""Chiot Rottweiler"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4925778"""
"1752751765-742,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chiot Rottweiler"",""Thies, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4920593"""
"1752751765-743,""https://sn.coinafrique.com/categorie/chiens?page=2"",""200 000CFA"",""Berger Malinois"",""Dakar, Sénégal"",""favorite_border10mois"",""https://sn.coinafrique.com/annonce/chiens/berger-malinois-4910751"""
"1752751765-744,""https://sn.coinafrique.com/categorie/chiens?page=2"",""400 000CFA"",""Boerboel"",""Almadies 2, Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/boerboel-4894355"""
"1752751765-745,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot femelle caniche"",""Thies, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-femelle-caniche-4893046"""
"1752751765-746,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot Berger Allemand"",""Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4892261"""
"1752751765-747,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Berger allemand"",""Keur Massar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-4888701"""
"1752751765-748,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Chiot Berger Malinois"",""Mbour, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4887929"""
"1752751765-749,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Berger Allemand"",""Almadies 2, Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-4885136"""
"1752751765-750,""https://sn.coinafrique.com/categorie/chiens?page=2"",""135 000CFA"",""Pitbull"",""Almadies 2, Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/pitbull-4885134"""
"1752751765-751,""https://sn.coinafrique.com/categorie/chiens?page=2"",""300 000CFA"",""Golden Retriever"",""Almadies 2, Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/golden-retriever-4885131"""
"1752751765-752,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot Berger Allemand"",""Cambérène, Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4875998"""
"1752751765-753,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot berger malinois"",""Keur Massar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4868594"""
"1752751765-754,""https://sn.coinafrique.com/categorie/chiens?page=2"",""150 000CFA"",""Chiot Caniche"",""Thies, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4867390"""
"1752751768-755,""https://sn.coinafrique.com/categorie/chiens?page=1"",""170CFA"",""Chiot Berger allemand"",""Pikine, Sénégal"",""favorite_border1jour"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5425744"""
"1752751768-756,""https://sn.coinafrique.com/categorie/chiens?page=1"",""200 000CFA"",""Chiot Malinois race pure"",""Sipres, Dakar, Sénégal"",""favorite_border1jour"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-race-pure-5424272"""
"1752751768-757,""https://sn.coinafrique.com/categorie/chiens?page=1"",""150 000CFA"",""Chiot Berger Allemand"",""HLM, Dakar, Sénégal"",""favorite_border4jours"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5387119"""
"1752751768-758,""https://sn.coinafrique.com/categorie/chiens?page=1"",""150 000CFA"",""Bichon maltaise"",""HLM, Dakar, Sénégal"",""favorite_border4jours"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltaise-5386842"""
"1752751768-759,""https://sn.coinafrique.com/categorie/chiens?page=1"",""650 000CFA"",""Chien Boerboell"",""HLM, Dakar, Sénégal"",""favorite_border4jours"",""https://sn.coinafrique.com/annonce/chiens/chien-boerboell-5386827"""
"1752751768-760,""https://sn.coinafrique.com/categorie/chiens?page=1"",""140 000CFA"",""Chiot Malinois"",""Mbao, Dakar, Sénégal"",""favorite_border4jours"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5420065"""
"1752751768-761,""https://sn.coinafrique.com/categorie/chiens?page=1"",""300 000CFA"",""Chien"",""Pikine, Sénégal"",""favorite_border5jours"",""https://sn.coinafrique.com/annonce/chiens/chien-5418514"""
"1752751768-762,""https://sn.coinafrique.com/categorie/chiens?page=1"",""150 000CFA"",""Chiot Bichons"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border9jours"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichons-5410955"""
"1752751768-763,""https://sn.coinafrique.com/categorie/chiens?page=1"",""200 000CFA"",""Chiots Berger Allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border10jours"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5410926"""
