web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751717-95,""https://sn.coinafrique.com/categorie/chiens?page=9"",""500 000CFA"",""Chiot dog allemand"",""Mamelles, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-dog-allemand-2751446"""
"1752751717-96,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Pitbulls"",""Bargny, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/pitbulls-2748068"""
"1752751717-97,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Couple chiots husky sibérien pure race"",""Mbao, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/couple-chiots-husky-siberien-pure-race-2733234"""
"1752751717-98,""https://sn.coinafrique.com/categorie/chiens?page=9"",""80 000CFA"",""Chiots Bergers allemands"",""Rufisque, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-2728385"""
"1752751717-99,""https://sn.coinafrique.com/categorie/chiens?page=9"",""250 000CFA"",""Chien berger allemand"",""Guediawaye, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-2727458"""
"1752751717-100,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Chien Husky sibérien"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-husky-siberien-2706061"""
"1752751717-101,""https://sn.coinafrique.com/categorie/chiens?page=9"",""250 000CFA"",""Caniche pur sang"",""Saly, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/caniche-pur-sang-2699954"""
"1752751717-102,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Chiot bulldog françai"",""Fann, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bulldog-francai-2696757"""
"1752751717-103,""https://sn.coinafrique.com/categorie/chiens?page=9"",""180 000CFA"",""Chien malinois"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-2683719"""
"1752751717-104,""https://sn.coinafrique.com/categorie/chiens?page=9"",""150 000CFA"",""Chiot pitbull"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-2678151"""
"1752751717-105,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Chiot Husky sibérien"",""Fann, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-siberien-2647792"""
