web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762976-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","25 000CFA","Coq","Les Parcelles Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-1723625"
"1752762976-86","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","5 000CFA","Poussin Orpington","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103"
"1752762976-87","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","65 000CFA","Pigeons","Dakar-Plateau, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742"
"1752762976-88","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","Coq Orpington Fauve","Louga, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722"
"1752762976-89","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","250 000CFA","Paon","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196"
"1752762976-90","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","10 000CFA","Lapin métissé","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460"
"1752762976-91","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","Blond Panoramin","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385"
"1752762976-92","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","55 000CFA","Poule","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136"
"1752762976-93","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Femelle cochin bleu","Les Parcelles Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500"
"1752762976-94","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","90 000CFA","Oies","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132"
"1752762976-95","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","Couple Cochin","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201"
"1752762976-96","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","Poulet","Hann Bel-Air, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236"
"1752762976-97","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","Males Bantam de Pékin","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111"
"1752762976-98","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","Poule","Hann Bel-Air, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888"
"1752762976-99","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","Poussin hermine - 7 jours","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855"
"1752762976-100","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","Poulet de race","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714"
"1752762976-101","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","Brahmane","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899"
"1752762976-102","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","60 000CFA","Trio Bantam de Pékin","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870"
"1752762976-103","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","240CFA","Oeuf fécondé","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452"
