web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762522-69","https://sn.coinafrique.com/categorie/autres-animaux?page=5","800 000CFA","Cheval","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3012715"
"1752762522-70","https://sn.coinafrique.com/categorie/autres-animaux?page=5","425 000CFA","Bœuf","Guediawaye, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/buf-3012014"
"1752762522-71","https://sn.coinafrique.com/categorie/autres-animaux?page=5","35 000CFA","Laor noir","Mbour, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/laor-noir-3005811"
"1752762522-72","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 500CFA","Porc","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/porc-3004606"
"1752762522-73","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Bœuf","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/buf-2968890"
"1752762522-74","https://sn.coinafrique.com/categorie/autres-animaux?page=5","160 000CFA","Chaton Angora turque","Grand Dakar, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turque-2966724"
"1752762522-75","https://sn.coinafrique.com/categorie/autres-animaux?page=5","85 000CFA","Couple oie de toulouse adulte","Mbour, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/couple-oie-de-toulouse-adulte-2936871"
"1752762522-76","https://sn.coinafrique.com/categorie/autres-animaux?page=5","35 000CFA","Perroquet Sénégal avec cage","Ngor, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-senegal-avec-cage-2930350"
"1752762522-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","1 500 000CFA","Jument arabe","Kébémer, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/jument-arabe-2924412"
"1752762522-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","12 500CFA","Perruches - inséparables","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567"
"1752762522-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","70 000CFA","Dinde rouge","Louga, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-2888081"
"1752762522-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton noir blanc","Mamelles, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-noir-blanc-2886750"
"1752762522-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Bouc race laitière","Saly, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/bouc-race-laitiere-2881915"
"1752762522-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","50 000CFA","Canard Colvert","Thies, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-2876451"
"1752762522-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chatons","Grand Dakar, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2860327"
"1752762522-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","250 000CFA","Veau","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/veau-2856538"
"1752762522-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","550 000CFA","Vache","Bambey, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/vache-2846588"
"1752762522-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Chaton Angora Turc","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-2826620"
"1752762522-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Dinde d'amérique","Guediawaye, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/dinde-damerique-2735977"
"1752762522-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","300 000CFA","Vache","Louga, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/vache-2709747"
"1752762522-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","35 000CFA","Canard","Mamelles, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/canard-2703622"
"1752762522-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","15 000CFA","Olpliitone 20 jours","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/olpliitone-20-jours-2701057"
"1752762522-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","850 000CFA","Âne Arabe","Kébémer, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/ane-arabe-2697117"
"1752762522-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","250 000CFA","Bœufs","Louga, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694722"
"1752762522-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","350 000CFA","Bœufs","Louga, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694720"
"1752762522-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","350 000CFA","Bœufs","Louga, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694719"
"1752762522-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 000 000CFA","Vaches laitières","Mbour, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/vaches-laitieres-2687649"
"1752762522-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","200 000CFA","Chèvre Bouc de race","Louga, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chevre-bouc-de-race-2675855"
"1752762522-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Bouc chèvre","Diamniadio, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/bouc-chevre-2673741"
"1752762522-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","225 000CFA","Paon bleu","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-2663712"
"1752762522-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chatons","Gorée, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2637004"
"1752762522-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Oie","Mbour, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oie-2630503"
"1752762522-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Oiseau Maknol","Kaffrine, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oiseau-maknol-2583338"
"1752762522-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","80 000CFA","Oies","Diourbel, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oies-2550824"
"1752762522-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Vaches hollandaises","Saint Louis, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/vaches-hollandaises-2434087"
"1752762522-104","https://sn.coinafrique.com/categorie/autres-animaux?page=5","1 200 000CFA","Géniteur hollandais Holstein","Mboro, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/geniteur-hollandais-holstein-2430101"
"1752762522-105","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Dindes","Mbour, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/dindes-2421638"
"1752762522-106","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Souris blanc","Hann Bel-Air, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/souris-blanc-2407511"
"1752762522-107","https://sn.coinafrique.com/categorie/autres-animaux?page=5","250 000CFA","Couples Paons","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/couples-paons-2394305"
"1752762522-108","https://sn.coinafrique.com/categorie/autres-animaux?page=5","150 000CFA","Chat blanc turc","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chat-blanc-turc-2388043"
